epoch,frame,loss,loss0,loss1,loss2,loss3,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,0.061201121050068065,0.2473886033148416,0.0,0.0,0.0,5.8104143142700195,469.49609375,1.2449175773624972,0.5912135974114118,0.6840065095238977,0.8936388972644685,0.07990409601329632,0.15827060177153152,2.0001071673716546,0.35285437863533864,0.4817041834853078,0.0,0.0,0.0
1,1,4.941739714617576,1.7229056466692152,1.4026804353678288,0.07631149015205431,0.0,8.346734285354614,484.171875,0.5414072338131125,0.06832477057180432,0.091121408555078,0.3162417373131992,0.019897119625390654,0.03024421396908943,1.3846284925285341,0.20801922960032299,0.26616657378036346,0.0,0.0,0.0
2,1,0.6662293209862146,0.5524043099634236,0.5991593680089597,0.04568206483022042,0.0,10.819694995880127,492.9765625,0.13210011007815392,0.03833408448236854,0.04986570743727165,0.053869195755472554,0.007468733610589063,0.010702929491841554,0.5466877534702381,0.059406424319550566,0.07390482765463584,0.0,0.0,0.0
3,1,0.06266544854576275,0.18426129599818783,0.16856224374700038,0.017320315407283692,0.0,13.278493165969849,470.76953125,0.05898121505293363,0.019869182495765407,0.025756168463485992,0.017935751221404117,0.003970443174960861,0.005490261721588385,0.07099858497017508,0.025330751996717533,0.02892072451632075,0.0,0.0,0.0
4,1,0.009745347097557538,0.07480592138531621,0.0642930877862059,0.003977447192188725,0.0,15.702254295349121,472.0546875,0.029952705633743276,0.009810929401095861,0.01296503488890209,0.00916590962630516,0.001950464686031168,0.00287832974552397,0.044655108563564916,0.012258352938162152,0.015422107733387333,0.0,0.0,0.0
5,1,0.0017173087398466064,0.03164620317704374,0.026711584529870824,0.0015224375939390192,0.0,18.09185242652893,494.51953125,0.018739381130226634,0.003717008623222285,0.005361339861606639,0.00537861135020601,0.0010540561642542216,0.0015835559199667956,0.021536760822179035,0.008070330443959089,0.010013120592526088,0.0,0.0,0.0
6,1,0.00035548906949431277,0.014739143898553832,0.011737060993011668,0.000698645745968645,0.0,20.53380846977234,499.515625,0.009015350011932766,0.001350748463774334,0.002165357325923649,0.0034132638272861265,0.0005858656414614426,0.0008718266299951736,0.009484615967319088,0.004721059114554544,0.0053919834633324795,0.0,0.0,0.0
7,1,8.26706180807686e-05,0.007234855195330161,0.0054946464648986644,0.00036925412543312516,0.0,22.953968286514282,499.515625,0.005212128413941808,0.0006405709594131667,0.0010752638372096817,0.002168964483304614,0.0003036699135004103,0.000488524491917633,0.003770731597275201,0.0015733905450943206,0.0018300104646638514,0.0,0.0,0.0
8,1,2.1621965071558307e-05,0.003778879332558306,0.002702501968105437,0.00019626302226410133,0.0,25.360700368881226,499.515625,0.003102727224813445,0.0003362069256354271,0.0005533077511760737,0.0012428471524880875,0.00017371249680898674,0.00028287078838540384,0.0015263475030512508,0.0004073697923684962,0.0005450952549888374,0.0,0.0,0.0
9,1,6.152107703454018e-06,0.002061713236860763,0.001374031145378677,0.00011612339960788899,0.0,27.750467538833618,470.76953125,0.0014669839102113558,0.0001883200862258999,0.00031124021353909424,0.0007327927075546845,0.00010170461095385806,0.000164059859147219,0.0012041011330049534,0.0003373950035527997,0.0004543000473790948,0.0,0.0,0.0
10,2,1.7491585712995986e-06,0.0011147549222292608,0.0007084885457721877,6.726079968930003e-05,0.0,30.184911012649536,472.0546875,0.0011106532000133285,0.00010703309757609105,0.00019348709260314003,0.0005118864556372532,5.710428428902239e-05,9.808263458714145e-05,0.000542948685693101,0.00016205247114381785,0.00021117507341561172,0.0,0.0,0.0
11,2,5.427163539031224e-07,0.0006318774256786582,0.00037670891867515067,3.921305154451763e-05,0.0,32.579270362854004,494.51953125,0.0006045363673186921,5.768246070732161e-05,9.923704749522018e-05,0.0002708942682938791,3.207347301240446e-05,5.4384978452962024e-05,0.0003328169143900772,7.403492371411907e-05,0.00010499189019732586,0.0,0.0,0.0
12,2,1.720893855737439e-07,0.00035929856602993476,0.0002059428215724335,2.411390191075138e-05,0.0,35.0377516746521,499.515625,0.0002849202686256158,3.4417275254505135e-05,5.8811566352076195e-05,0.00014590536675731722,1.8536411253263523e-05,3.106989094041156e-05,0.00021698730267433186,5.2834411545563805e-05,7.608382488968634e-05,0.0,0.0,0.0
13,2,5.300237847013178e-08,0.00019946169380563364,0.00011420416632739267,1.3221935099850797e-05,0.0,37.52244687080383,499.515625,0.00022054337860882844,2.083550708573353e-05,3.8209020846426906e-05,9.86283651266684e-05,1.080671135111273e-05,1.893900222227236e-05,9.220354417979748e-05,2.6347825560269818e-05,3.495525979698628e-05,0.0,0.0,0.0
14,2,1.81981089917129e-08,0.00011756558217235308,6.570989543845394e-05,7.658493432526064e-06,0.0,39.98980188369751,499.515625,0.00011166164341869234,1.1367909323421062e-05,1.9567411512298007e-05,5.945720727813797e-05,6.483511290475038e-06,1.1259624974186505e-05,6.621952287749755e-05,1.4300549718270487e-05,2.050077083597282e-05,0.0,0.0,0.0
15,2,6.176041645808892e-09,6.814730712354057e-05,3.887964446021468e-05,4.5121418712211064e-06,0.0,42.37704539299011,470.76953125,5.945560083833734e-05,7.079415132701462e-06,1.2216403853888468e-05,3.059586225703792e-05,3.7648171344079828e-06,6.4816382199305484e-06,4.005712108429149e-05,9.184731847427502e-06,1.3561806153714319e-05,0.0,0.0,0.0
16,2,2.019770551945713e-09,3.8730645152313235e-05,2.2651647141918694e-05,2.571100890535973e-06,0.0,44.83724069595337,472.0546875,4.402690766933115e-05,4.3293538656273976e-06,7.955587832529687e-06,2.2960088955824298e-05,2.227009476117182e-06,4.0795437698623095e-06,1.6306952168532174e-05,4.806239058209522e-06,6.362999700806982e-06,0.0,0.0,0.0
17,2,7.180652975353906e-10,2.294267548560022e-05,1.3758379062194691e-05,1.5511107886905002e-06,0.0,47.23560404777527,494.5234375,2.1452263101739977e-05,2.128053850574692e-06,3.718983559282604e-06,1.3322442964994186e-05,1.2444036477749959e-06,2.2273524987913248e-06,1.3251581094830822e-05,2.7568153107230276e-06,4.0031359177945936e-06,0.0,0.0,0.0
18,2,2.4832350110676043e-10,1.3281838567351241e-05,8.42737427507387e-06,9.463763550536918e-07,0.0,49.6452910900116,499.51953125,1.2769764610981449e-05,1.398450049489097e-06,2.4120991879043808e-06,6.7803294669724345e-06,7.041493012245827e-07,1.2325289384613704e-06,7.353660558762076e-06,1.6909664836692107e-06,2.4882557288449987e-06,0.0,0.0,0.0
19,2,8.421964180465305e-11,7.639624358316397e-06,5.059556968942336e-06,5.066209100489953e-07,0.0,52.054641246795654,499.51953125,8.510779147707925e-06,8.929327046747606e-07,1.6192312067949432e-06,4.188993474686653e-06,4.2857668875421264e-07,7.874539580799966e-07,3.144289100531772e-06,8.904229669077808e-07,1.1703682803672364e-06,0.0,0.0,0.0
20,3,3.1524239247881533e-11,4.633596978842392e-06,3.1562047857637737e-06,3.0395663484458115e-07,0.0,54.47561550140381,499.51953125,3.828188431503898e-06,4.383228996435027e-07,7.586770219044812e-07,3.0013265472569883e-06,2.5397308496290145e-07,4.649616914319653e-07,2.568608625574953e-06,5.408429341180343e-07,7.872294077154047e-07,0.0,0.0,0.0
21,3,1.1517074918377934e-11,2.7447228684379106e-06,1.988604541094084e-06,1.7036218181242617e-07,0.0,56.87904691696167,470.7734375,2.6508878421260818e-06,3.0737142545215006e-07,5.330277991778913e-07,1.5748697277453982e-06,1.4799595598472188e-07,2.667349778049811e-07,1.3564399285459494e-06,3.104934206551308e-07,4.552315099098351e-07,0.0,0.0,0.0
22,3,4.1672950712007564e-12,1.6366593572031348e-06,1.216268440247981e-06,9.66038350011116e-08,0.0,59.33728218078613,472.05859375,1.7170963172163933e-06,1.9988296995553994e-07,3.6414257609429955e-07,1.2043186369536658e-06,9.25804478893504e-08,1.8256352867179523e-07,6.732905691864133e-07,1.7749951101622512e-07,2.2806619932617667e-07,0.0,0.0,0.0
23,3,1.5852878126437854e-12,9.916188020185237e-07,7.734449201075133e-07,6.134264166968708e-08,0.0,61.798365354537964,494.5234375,7.813213723784074e-07,8.659236618646491e-08,1.5172404507506996e-07,6.998927313123238e-07,5.152092754085854e-08,9.816338033344891e-08,5.076947300897139e-07,1.084463326800585e-07,1.5569589902203093e-07,0.0,0.0,0.0
24,3,5.92511917304353e-13,5.921647194000835e-07,4.903735750366101e-07,3.723733755234839e-08,0.0,64.18646693229675,499.51953125,5.831322950899942e-07,6.530827231226206e-08,1.1395122398085869e-07,3.63157734446784e-07,2.8682282703141113e-08,5.342287982914246e-08,2.483191359203829e-07,5.9151108931232045e-08,8.511901359208628e-08,0.0,0.0,0.0
