epoch,frame,loss,loss0,loss1,loss2,loss3,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,0.029861144901897476,0.17280377571655509,0.0,0.0,0.0,5.899715185165405,471.68359375,1.0435532621553478,0.2870041793934503,0.37046138013948465,0.8017169538076435,0.051307232021157764,0.09433032208365638,1.4592738999704709,0.13700453454389042,0.20167533698021153,0.0,0.0,0.0
1,1,1.3984125374514882,0.9427974629580881,0.7119229658614358,0.05206891558634184,0.0,7.917426586151123,481.3046875,0.42161897046230734,0.05672435642086169,0.07769048305380367,0.21808605070186976,0.017794356794021755,0.02612666817637647,1.18488074316307,0.1119892563530348,0.14800974066124842,0.0,0.0,0.0
2,1,0.16713899148360434,0.287926507001744,0.28805360602203206,0.03553080504411517,0.0,9.859711647033691,494.63671875,0.09548917166685833,0.020954546531688628,0.029187534156993114,0.06747119336722507,0.004136658023435447,0.00692522484472495,0.33749943270867666,0.02567473609035594,0.037337233180620565,0.0,0.0,0.0
3,1,0.012096052338063268,0.08440128995608834,0.06979885160287823,0.010029701228399258,0.0,11.82171082496643,499.7421875,0.036411183550463244,0.005409917519522828,0.007338592881858239,0.017663003751901607,0.0015443965982696447,0.0022576337553568042,0.06058830442778529,0.007363383553022607,0.010235808290210029,0.0,0.0,0.0
4,1,0.001246774103183804,0.027792212054950593,0.021638793541102257,0.00247581630215451,0.0,13.811891794204712,502.3046875,0.010270640570420708,0.002319181021700478,0.003272793619953789,0.006519885356816857,0.0006601836645322783,0.0009584025348873609,0.014628523561059315,0.0026719949432880423,0.0037581425213607084,0.0,0.0,0.0
5,1,0.00016619190726712015,0.009825936817272207,0.008319630229965177,0.0006531659565105167,0.0,15.738908290863037,502.3046875,0.004130478913753066,0.0006197832402886189,0.0008726781602392873,0.0016288463350820348,0.00020218589078501296,0.0002796497312058479,0.004331683348453019,0.0009549239916224263,0.0012678489367522973,0.0,0.0,0.0
6,1,2.1068903971894364e-05,0.003353787945987452,0.0031258648191700546,0.00022356099283773784,0.0,17.750853061676025,502.3046875,0.0012149701744415542,0.0002457488866578816,0.0003425377604631891,0.0005741786659702042,7.114461613817067e-05,9.88193648043395e-05,0.0016895450674956347,0.0002928131225593653,0.0003810771187358108,0.0,0.0,0.0
7,1,3.26321016718563e-06,0.001247242383924274,0.0013051554234419283,6.454396632253045e-05,0.0,19.686583995819092,502.3046875,0.00046501786384001154,0.00010018571149649303,0.0001388589056694814,0.00017154146883552324,2.4387517827348948e-05,3.3488372084975436e-05,0.0004605044754315557,9.831039007401547e-05,0.00012543738855297086,0.0,0.0,0.0
8,1,5.890144547641896e-07,0.0005061905667434149,0.0005765663592910522,1.888910368522957e-05,0.0,21.602856636047363,502.3046875,0.00016188340065048656,3.871685884770687e-05,5.144315868916332e-05,6.327580429432711e-05,8.250788086506514e-06,1.1549168297522524e-05,0.00023243463725919344,3.04855665125677e-05,3.7915572506653615e-05,0.0,0.0,0.0
9,1,1.173569605374619e-07,0.00021862430084036678,0.00026365211730822863,6.923630435743013e-06,0.0,23.513450622558594,502.3046875,6.519604366461706e-05,1.4601232489674162e-05,2.023229542763746e-05,1.8282984080186804e-05,2.9425355666331853e-06,4.16070345267164e-06,8.219727778624453e-05,9.657542624467643e-06,1.202691771747342e-05,0.0,0.0,0.0
