epoch,frame,loss,loss0,loss1,loss2,loss3,loss4,loss5,loss6,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,vz_err_linf,vz_err_l1,vz_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,300.48453,0.006692851,0.0,0.0,0.0,16.379374,4.235607,3.7762833,199.4310450553894,9329.47265625,1.2007421,0.14704561,0.22996863559482122,0.53007054,0.022264086,0.04667465290548126,0.53005815,0.022265239,0.04667482001572449,0.8459439,0.058789726,0.09283350957186581,0.9933072,0.02321604,0.12750339096833313
1,1,300.48453,0.006692851,0.0,0.0,0.0,16.379374,4.235607,3.7762833,201.62904930114746,9343.875,1.2007421,0.14704561,0.22996863559482122,0.53007054,0.022264086,0.04667465290548126,0.53005815,0.022265239,0.04667482001572449,0.8459439,0.058789726,0.09283350957186581,0.9933072,0.02321604,0.12750339096833313
2,1,81.28876,0.67139435,1.1961461,0.89797133,0.87497216,8.166774,2.5196884,2.1886673,202.46928882598877,9346.39453125,1.3698503,0.12541866,0.20150290724571493,0.50122887,0.018003397,0.0373573083136412,0.5033072,0.016906368,0.03791988990245948,0.8459427,0.058789194,0.09283309825153195,0.9933072,0.02321604,0.12750339096833313
3,1,81.28876,0.67139435,1.1961461,0.89797133,0.87497216,8.166774,2.5196884,2.1886673,202.7694730758667,9346.39453125,1.3698503,0.12541866,0.20150290724571493,0.50122887,0.018003397,0.0373573083136412,0.5033072,0.016906368,0.03791988990245948,0.8459427,0.058789194,0.09283309825153195,0.9933072,0.02321604,0.12750339096833313
4,1,43.083546,2.0319824,0.56396675,0.5620373,0.960446,5.683136,1.7265317,1.4557642,203.65084433555603,9348.02734375,1.3139716,0.108074844,0.18177181551503066,0.48458228,0.014450597,0.03421466093965033,0.49555558,0.014276945,0.03514797060220355,0.846029,0.05877402,0.09276128488552356,0.9933071,0.023216048,0.12750339096833313
5,1,43.083546,2.0319824,0.56396675,0.5620373,0.960446,5.683136,1.7265317,1.4557642,203.94007539749146,9348.02734375,1.3139716,0.108074844,0.18177181551503066,0.48458228,0.014450597,0.03421466093965033,0.49555558,0.014276945,0.03514797060220355,0.846029,0.05877402,0.09276128488552356,0.9933071,0.023216048,0.12750339096833313
6,1,13.24263,0.65101504,0.572264,0.444055,0.6133895,3.106846,1.1671407,0.95035905,204.77594995498657,9348.02734375,1.3003254,0.08959428,0.16998425796494943,0.4771925,0.013642117,0.031499827041628924,0.48665264,0.013052475,0.032768920074458446,0.84630233,0.058745798,0.09263647409592167,0.9933071,0.023216074,0.12750337635973927
7,1,13.24263,0.65101504,0.572264,0.444055,0.6133895,3.106846,1.1671407,0.95035905,205.0774073600769,9348.02734375,1.3003254,0.08959428,0.16998425796494943,0.4771925,0.013642117,0.031499827041628924,0.48665264,0.013052475,0.032768920074458446,0.84630233,0.058745798,0.09263647409592167,0.9933071,0.023216074,0.12750337635973927
8,1,7.4301424,0.64076895,0.38936737,0.30136222,0.55770916,2.2795873,0.8994884,0.67859787,205.97235870361328,9348.02734375,1.2743111,0.08640972,0.16423710546255246,0.45373586,0.012133252,0.028875817044976118,0.47553298,0.011989732,0.031122371700972182,0.84683895,0.05870932,0.09252053473461705,0.99330705,0.023216084,0.12750337635973927
9,1,7.4301424,0.64076895,0.38936737,0.30136222,0.55770916,2.2795873,0.8994884,0.67859787,206.32406544685364,9348.02734375,1.2743111,0.08640972,0.16423710546255246,0.45373586,0.012133252,0.028875817044976118,0.47553298,0.011989732,0.031122371700972182,0.84683895,0.05870932,0.09252053473461705,0.99330705,0.023216084,0.12750337635973927
