epoch,frame,loss,loss0,loss1,loss2,loss3,loss4,loss5,loss6,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,vz_err_linf,vz_err_l1,vz_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
0,1,100.25498,0.006692851,0.0,0.0,0.0,9.423358,2.4298332,2.3560905,194.75913524627686,9337.9140625,1.2138249,0.088813744,0.1582791004712784,0.43837327,0.015076769,0.03264115346802153,0.40979785,0.013221294,0.029225525798691757,0.7685425,0.031037334,0.052639644361025584,0.9933072,0.014955721,0.08963106730938392
1,1,100.25498,0.006692851,0.0,0.0,0.0,9.423358,2.4298332,2.3560905,195.61477541923523,9352.48046875,1.2138249,0.088813744,0.1582791004712784,0.43837327,0.015076769,0.03264115346802153,0.40979785,0.013221294,0.029225525798691757,0.7685425,0.031037334,0.052639644361025584,0.9933072,0.014955721,0.08963106730938392
2,1,85.1723,0.051259734,0.08607366,0.06505161,0.06231671,8.669272,2.257724,2.2137198,196.2987596988678,9354.9375,1.2271217,0.08552175,0.15527827777156028,0.43532065,0.014256229,0.03176557027954665,0.4074197,0.012547994,0.028443029502753268,0.76854235,0.031037258,0.05263959128374578,0.9933072,0.014955721,0.08963106730938392
3,1,85.1723,0.051259734,0.08607366,0.06505161,0.06231671,8.669272,2.257724,2.2137198,196.60964155197144,9354.9375,1.2271217,0.08552175,0.15527827777156028,0.43532065,0.014256229,0.03176557027954665,0.4074197,0.012547994,0.028443029502753268,0.76854235,0.031037258,0.05263959128374578,0.9933072,0.014955721,0.08963106730938392
4,1,22.395603,1.0127252,0.36310887,0.38193524,0.5252507,4.315015,1.0616168,1.0344067,197.53251361846924,9557.79296875,1.2933642,0.0693016,0.13476579776697556,0.40652916,0.010262448,0.026148510715059005,0.38528022,0.009194534,0.022666521559808424,0.76858854,0.031031584,0.05260654249743334,0.9933072,0.014955721,0.08963106730938392
5,1,22.395603,1.0127252,0.36310887,0.38193524,0.5252507,4.315015,1.0616168,1.0344067,197.82901787757874,9557.79296875,1.2933642,0.0693016,0.13476579776697556,0.40652916,0.010262448,0.026148510715059005,0.38528022,0.009194534,0.022666521559808424,0.76858854,0.031031584,0.05260654249743334,0.9933072,0.014955721,0.08963106730938392
6,1,13.89452,0.60947144,0.30157775,0.271031,0.4019731,3.4588223,0.794167,0.77648044,198.61037683486938,9557.79296875,1.3033013,0.06573451,0.13304821302689762,0.40095535,0.009526383,0.024839503107841145,0.38041744,0.008495327,0.021644178137113085,0.7686725,0.031024106,0.05256638658390952,0.9933071,0.014955726,0.08963106730938392
7,1,13.89452,0.60947144,0.30157775,0.271031,0.4019731,3.4588223,0.794167,0.77648044,198.9119575023651,9557.79296875,1.3033013,0.06573451,0.13304821302689762,0.40095535,0.009526383,0.024839503107841145,0.38041744,0.008495327,0.021644178137113085,0.7686725,0.031024106,0.05256638658390952,0.9933071,0.014955726,0.08963106730938392
8,1,5.0251513,0.3956467,0.20113996,0.18526152,0.33044145,2.04323,0.5041546,0.505651,199.7619640827179,9557.79296875,1.2663025,0.057399478,0.12467217297989924,0.38384762,0.008613781,0.02330212438122461,0.37123746,0.0076547298,0.02019636411183951,0.76899195,0.030999374,0.05246609864797913,0.9933071,0.014955734,0.08963106730938392
9,1,5.0251513,0.3956467,0.20113996,0.18526152,0.33044145,2.04323,0.5041546,0.505651,200.1320607662201,9557.79296875,1.2663025,0.057399478,0.12467217297989924,0.38384762,0.008613781,0.02330212438122461,0.37123746,0.0076547298,0.02019636411183951,0.76899195,0.030999374,0.05246609864797913,0.9933071,0.014955734,0.08963106730938392
10,1,2.150577,0.39331743,0.32942724,0.17228502,0.3580738,1.1027433,0.63056844,0.34029084,200.97958517074585,9558.05078125,1.2743284,0.05603272,0.12376516965043802,0.38706926,0.009658096,0.023926115763525067,0.36997944,0.0076754037,0.020136827567784225,0.76943535,0.030967977,0.05233783110205116,0.9933071,0.014955738,0.08963106730938392
11,1,2.150577,0.39331743,0.32942724,0.17228502,0.3580738,1.1027433,0.63056844,0.34029084,201.27520513534546,9558.05078125,1.2743284,0.05603272,0.12376516965043802,0.38706926,0.009658096,0.023926115763525067,0.36997944,0.0076754037,0.020136827567784225,0.76943535,0.030967977,0.05233783110205116,0.9933071,0.014955738,0.08963106730938392
12,1,1.0918946,0.4052099,0.19636376,0.1613909,0.33979306,0.7821885,0.27086505,0.24989563,201.95717811584473,9558.05078125,1.2809918,0.055768635,0.12419313175614238,0.37646398,0.008488507,0.022957213257218546,0.3689237,0.007405503,0.019896887554496062,0.76980907,0.030951018,0.052255188515794145,0.9933071,0.014955739,0.08963106211407257
